Date,total_percentage,close,open,high,low,volume
2023-08-03,717.4601964265756,35215.890625,35194.55859375,35348.19921875,35122.3203125,254960000
2023-08-04,672.6831800736677,35065.62109375,35230.12890625,35506.87890625,35033.76171875,338290000
2023-08-07,726.0032103919795,35473.12890625,35125.6015625,35497.37890625,35125.6015625,300150000
2023-08-08,685.0758437986578,35314.48828125,35345.3984375,35346.640625,35007.41015625,303840000
2023-08-09,662.3030722518508,35123.359375,35324.28125,35370.890625,35058.73046875,306680000
2023-08-10,665.4050305569452,35176.1484375,35231.5390625,35578.578125,35107.6015625,337110000
2023-08-11,653.3655151714084,35281.3984375,35111.359375,35354.6015625,35059.98828125,277840000
2023-08-14,651.3926612976653,35307.62890625,35273.890625,35335.44921875,35169.96875,300250000
2023-08-15,571.9536340389656,34946.390625,35219.37109375,35219.37109375,34908.5,323920000
2023-08-16,516.3907999361968,34765.73828125,34914.9609375,35133.55859375,34757.37109375,332310000
2023-08-17,431.04402877676023,34474.828125,34829.609375,34888.48046875,34440.73046875,392850000
2023-08-18,457.78950152223297,34500.66015625,34368.359375,34587.0703125,34263.19140625,320680000
2023-08-21,431.17966616445534,34463.69140625,34531.28125,34570.9609375,34248.4609375,396490000
2023-08-22,402.5234553828218,34288.828125,34494.171875,34514.0390625,34256.83984375,279200000
2023-08-23,471.8736951957224,34472.98046875,34338.58984375,34534.71875,34321.0,360610000
2023-08-24,390.24161575066154,34099.421875,34439.828125,34694.6796875,34093.6484375,342520000
2023-08-25,407.054374008796,34346.8984375,34217.05859375,34441.91015625,34029.21875,257440000
2023-08-28,441.9853861711386,34559.98046875,34441.640625,34652.91015625,34441.640625,224640000
2023-08-29,559.1281272977826,34852.671875,34531.12109375,34864.421875,34531.12109375,262550000
2023-08-30,567.7762829895745,34890.23828125,34847.80078125,35025.5703125,34811.73828125,236070000
2023-08-31,521.5138179590319,34721.91015625,34909.08984375,35070.2109375,34719.76953125,341900000
2023-09-01,529.3932710077021,34837.7109375,34876.23828125,34979.1796875,34720.69921875,286370000
2023-09-05,452.2613272332868,34641.96875,34843.21875,34871.26171875,34635.62890625,283540000
2023-09-06,430.3717884425656,34443.19140625,34611.6796875,34611.6796875,34291.55859375,308900000
2023-09-07,437.685521984284,34500.73046875,34351.1796875,34560.859375,34351.1796875,386980000
2023-09-08,421.574247818938,34576.58984375,34487.41015625,34627.8515625,34473.5703125,293990000
2023-09-11,449.71136688506,34663.71875,34650.01171875,34784.51953125,34578.58984375,291720000
2023-09-12,426.4744861498809,34645.98828125,34620.01953125,34852.609375,34560.55078125,318670000
2023-09-13,412.8848631631135,34575.53125,34667.28125,34767.109375,34509.94921875,295480000
2023-09-14,486.6302501731755,34907.109375,34687.5,34977.96875,34687.5,305180000
2023-09-15,429.07586707945256,34618.23828125,34902.0390625,34902.0390625,34572.26953125,582160000
2023-09-18,423.70548672698897,34624.30078125,34612.2890625,34725.05859375,34545.3515625,252700000
2023-09-19,389.21181903081725,34517.73046875,34571.83984375,34597.55859375,34311.69140625,282830000
2023-09-20,355.06030808260044,34440.87890625,34575.5,34776.28125,34434.2890625,291650000
2023-09-21,254.2860842201322,34070.421875,34332.23046875,34378.30078125,34058.71875,331930000
2023-09-22,257.64884695736896,33963.83984375,34077.078125,34156.1484375,33947.23828125,268760000
2023-09-25,273.8824417326401,34006.87890625,33907.58984375,34017.53125,33780.671875,229450000
2023-09-26,190.45758170260768,33618.87890625,33862.6796875,33879.9296875,33569.6015625,280100000
2023-09-27,213.135306450243,33550.26953125,33682.80859375,33731.6484375,33306.30078125,300330000
2023-09-28,260.74351162934755,33666.33984375,33519.44140625,33777.8984375,33473.5,275610000
2023-09-29,220.35136167487136,33507.5,33882.609375,33893.6796875,33407.44921875,319830000
2023-10-02,189.53889045349513,33433.3515625,33455.5,33511.91015625,33219.55859375,275630000
2023-10-03,142.35470943459634,33002.37890625,33318.83984375,33398.5390625,32916.19921875,293450000
2023-10-04,131.5296592138004,33129.55078125,33034.1796875,33156.44921875,32873.23046875,287030000
2023-10-05,138.86952946000335,33119.5703125,33099.23046875,33174.37890625,32941.55859375,277250000
2023-10-06,183.98433028490177,33407.578125,33040.69921875,33557.69140625,32846.94140625,332990000
